동네,NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
홍대,684,서울특별시 마포구 서교동,469-69,0469,0069,서교주택,월세,39.9600,202608,28,"2,000",150,-1,1993,잔다리로 115,202608~202808,신규,-,,,연립다세대
역삼,687,서울특별시 강남구 역삼동,690-40,0690,0040,아이힐,전세,28.7100,202608,28,"29,000",0,5,2016,언주로100길 20,202609~202809,갱신,-,"27,300",0,연립다세대
역삼,688,서울특별시 강남구 역삼동,796-1,0796,0001,리치웰빌라트3차,월세,26.5700,202608,28,"20,000",40,4,2019,논현로67길 15,202610~202810,신규,-,,,연립다세대
역삼,689,서울특별시 강남구 역삼동,704-14,0704,0014,한스빌라,월세,117.6400,202608,28,"20,000",290,3,1994,언주로98길 31-10,202609~202809,신규,-,,,연립다세대
홍대,696,서울특별시 마포구 상수동,93-62,0093,0062,(93-62),월세,38.1400,202608,28,"5,000",53,3,2002,와우산로10길 29-4,202610~202810,신규,-,,,연립다세대
홍대,711,서울특별시 마포구 서교동,473-53,0473,0053,레이크빌,월세,27.7200,202608,28,"1,000",41,-1,2001,월드컵로16길 38,202609~202809,신규,-,,,연립다세대
합정,716,서울특별시 마포구 합정동,457-29,0457,0029,동서빌라가동,월세,54.2800,202608,28,"28,000",13,3,1992,동교로8안길 11,202610~202810,갱신,-,"28,000",0,연립다세대
노원,738,서울특별시 노원구 중계동,168-9,0168,0009,한신월드타운(168-9),전세,59.9900,202608,28,"21,000",0,2,2011,덕릉로82길 61,202611~202811,신규,-,,,연립다세대
노원,739,서울특별시 노원구 상계동,349-15,0349,0015,(349-15),전세,28.8400,202608,28,"13,000",0,2,2014,상계로7길 15-23,202609~202809,신규,-,,,연립다세대
수유,770,서울특별시 강북구 수유동,440-25,0440,0025,서림맨션,월세,29.7250,202608,28,"2,000",70,2,2015,인수봉로 188,202610~202810,신규,-,,,연립다세대
신촌,780,서울특별시 서대문구 대현동,90-41,0090,0041,(90-41),월세,14.0400,202608,28,"3,000",55,8,2015,이화여대1안길 17,202608~202708,신규,-,,,연립다세대
홍대,812,서울특별시 마포구 동교동,153-6,0153,0006,동교빌라,전세,90.9000,202608,28,"34,000",0,2,1983,동교로 212,202611~202811,신규,-,,,연립다세대
홍대,813,서울특별시 마포구 동교동,204-24,0204,0024,에이스빌,월세,14.7200,202608,28,500,59,3,2011,동교로27길 21-7,202608~202808,신규,-,,,연립다세대
안암,830,서울특별시 성북구 안암동1가,10-1,0010,0001,(10-1),월세,12.8500,202608,28,"3,000",40,2,2013,보문로30길 36-3,202608~202808,신규,-,,,연립다세대
성수,848,서울특별시 성동구 성수동1가,656-1080,0656,1080,베스트하우스,월세,28.4250,202608,28,"3,000",98,2,2017,왕십리로6길 15,202610~202810,신규,-,,,연립다세대
성수,851,서울특별시 성동구 성수동2가,299-105,0299,0105,(299-105),전세,21.6800,202608,28,"20,000",0,6,2016,광나루로4길 10,202608~202808,갱신,-,"19,000",0,연립다세대
상도,905,서울특별시 동작구 상도동,244-221,0244,0221,미도빌라(244-221),월세,38.1600,202608,28,"13,000",3,1,1986,성대로21길 26,202610~202810,갱신,사용,"13,000",0,연립다세대
상도,906,서울특별시 동작구 상도동,244-353,0244,0353,인성주택다동,전세,29.7000,202608,28,"13,000",0,-1,1986,성대로21길 25,202610~202810,신규,-,,,연립다세대
상도,907,서울특별시 동작구 상도동,210-195,0210,0195,모건쉐르빌,월세,29.3400,202608,28,"18,000",20,4,2012,양녕로25길 27,202611~202811,신규,-,,,연립다세대
상도,908,서울특별시 동작구 상도동,203-20,0203,0020,더그린3차,월세,34.7200,202608,28,"20,000",20,4,2013,양녕로29길 45,202610~202810,신규,-,,,연립다세대
