동네,시군구,번지,건물명,위도,경도,전월세구분,전용면적(㎡),층,보증금(만원),월세금(만원),건축년도
신촌,서울특별시 서대문구 창천동,382,시온하우스,37.5587663,126.9342407,월세,25.6800,3,500,84,2001
신촌,서울특별시 서대문구 창천동,285,석호하이빌,37.5587663,126.9342407,월세,14.5100,2,500,60,2013
사당,서울특별시 동작구 사당동,1050-20,정진빌,37.48508,126.9704949,전세,30.0000,2,"31,500",0,2023
건대입구,서울특별시 광진구 구의동,650-5,성광빌라,37.5444896,127.0874678,월세,33.3100,4,"7,000",70,2004
사당,서울특별시 동작구 사당동,183-39,가온빌,37.48508,126.9704949,월세,29.8100,4,"30,000",10,2019
사당,서울특별시 동작구 사당동,140-16,피움,37.48508,126.9704949,월세,12.2100,3,"1,000",53,2011
사당,서울특별시 동작구 사당동,141-117,(141-117),37.48508,126.9704949,전세,61.0200,4,"34,000",0,2009
상도,서울특별시 동작구 상도동,7-45,이노시티빌,37.4988159,126.9441045,월세,25.5900,4,"3,956",9,2021
상도,서울특별시 동작구 상도동,244-343,엘림파크빌,37.4988159,126.9441045,전세,38.3200,2,"23,150",0,2016
상도,서울특별시 동작구 상도동,244-343,엘림파크빌,37.4988159,126.9441045,전세,38.3200,2,"23,150",0,2016
공덕,서울특별시 마포구 공덕동,111-25,두영파크(파크힐),37.549927,126.9592897,월세,13.9200,3,"1,000",60,2012
성수,서울특별시 성동구 성수동1가,656-572,성수리치빌A동,37.5435,127.03742,전세,16.9000,6,"15,500",0,2016
성수,서울특별시 성동구 성수동1가,685-260,신성연립,37.5435,127.03742,월세,81.2200,2,"10,000",166,1978
수유,서울특별시 강북구 수유동,445-17,푸른주택(B),37.636597,127.0043825,월세,58.4400,3,"1,000",60,2003
수유,서울특별시 강북구 수유동,522-36,청산주택,37.636597,127.0043825,전세,95.6100,2,"22,270",0,1992
홍대,서울특별시 마포구 상수동,335-10,상수그린파크빌,37.54743,126.92473,전세,46.9000,4,"30,000",0,2008
합정,서울특별시 마포구 합정동,377-34,합정리치빌,37.5477846,126.9095636,전세,29.7400,2,"30,000",0,2021
노원,서울특별시 노원구 월계동,534-118,숲속그린빌,37.6298479,127.0541062,월세,34.8100,2,"3,000",110,2017
노원,서울특별시 노원구 공릉동,224-9,4차남경빌라,37.6302152,127.0872902,전세,39.9500,-1,"8,100",0,1994
노원,서울특별시 노원구 공릉동,240-42,삼성쉐르빌,37.6302152,127.0872902,월세,35.1600,5,"12,500",20,2002
노원,서울특별시 노원구 공릉동,389-3,해피하우스,37.6302152,127.0872902,월세,12.0600,4,"2,000",36,2011
합정,서울특별시 마포구 합정동,398-1,금강빌라,37.5477846,126.9095636,월세,26.8800,3,50,45,1993
노원,서울특별시 노원구 상계동,1087-8,상계빌라(1087-8),37.66727,127.07242,월세,56.2000,4,"18,000",20,2001
노원,서울특별시 노원구 상계동,1117-2,에든버러캐슬,37.66727,127.07242,전세,15.6000,7,"7,717",0,2012
노원,서울특별시 노원구 중계동,90-21,샬롬하우스,37.6509815,127.0810259,월세,75.3800,2,"34,000",15,2019
신촌,서울특별시 서대문구 창천동,68-67,올리브하우스,37.5587663,126.9342407,월세,102.8900,5,500,30,2001
홍대,서울특별시 마포구 서교동,454-5,서교동포인트빌라,37.5550711,126.9238244,전세,47.3800,3,"23,000",0,2000
홍대,서울특별시 마포구 서교동,473-53,레이크빌,37.5550711,126.9238244,월세,21.9600,2,"1,000",56,2001
역삼,서울특별시 강남구 역삼동,778-19,백년빌,37.49988,127.03856,월세,29.9200,3,"7,396",16,2021
역삼,서울특별시 강남구 역삼동,778-3,역삼파크빌,37.49988,127.03856,월세,27.8700,2,"3,959",29,2020
역삼,서울특별시 강남구 역삼동,774-10,리치웰,37.49988,127.03856,월세,25.4700,2,"27,000",30,2017
역삼,서울특별시 강남구 역삼동,774-10,리치웰,37.49988,127.03856,월세,25.4700,2,"27,000",30,2017
역삼,서울특별시 강남구 역삼동,628-3,멜론즈프라자,37.49988,127.03856,월세,30.4200,5,200,120,2002
건대입구,서울특별시 광진구 자양동,229-48,상진라인빌,37.5316905,127.0749477,전세,28.8000,3,"30,000",0,2019
건대입구,서울특별시 광진구 자양동,612-6,연진마을,37.5316905,127.0749477,전세,63.4300,3,"28,000",0,2003
신림,서울특별시 관악구 신림동,412-273,영파크,37.486897,126.928177,월세,36.5400,-1,400,48,1991
신림,서울특별시 관악구 신림동,1420-23,일육삼빌라,37.486897,126.928177,월세,39.8200,1,500,55,1993
신림,서울특별시 관악구 신림동,619-38,소노팰리체III,37.486897,126.928177,전세,67.6500,5,"25,000",0,2013
신림,서울특별시 관악구 신림동,1460-4,스타빌딩,37.486897,126.928177,월세,14.7400,5,"5,000",46,2014
신림,서울특별시 관악구 신림동,561-13,반도하우스,37.486897,126.928177,월세,15.2400,2,"2,000",55,2016
신림,서울특별시 관악구 신림동,254-134,한솔산자락빌라,37.486897,126.928177,월세,10.2100,2,100,41,2012
신림,서울특별시 관악구 신림동,489-17,이도파크빌,37.486897,126.928177,월세,26.3100,2,"8,543",7,2023
수유,서울특별시 강북구 수유동,313-6,홍원하이빌강북7,37.636597,127.0043825,월세,24.0900,5,"2,346",24,2021
